red,orange,yellow,green,blue,white,brown,cyan,gray,pink,darkslategray,no match,initial_price,curr_price,days_since_release,skin_type
1,0,0,0,8,323,660,24,7685,1605,25225,0,5.99,0.48,1586,T-Shirt
1,0,0,0,1,0,3617,24,2163,21,44476,0,1.49,4.53,914,Armored Door
5,0,0,0,7,1626,331,24,9615,1370,32223,0,1.95,2.66,1123,Semi-Automatic Pistol
0,0,0,0,8,308,6,27,10686,1726,49853,0,1.83,4.14,1180,Boots
3,0,0,0,1,4,1,24,23143,2883,28283,0,1.49,3.96,1012,Armored Door
4,0,0,0,5,30,470,19,10694,349,44979,0,1.49,11.14,731,Armored Door
4,0,0,0,3,65,92,21,5976,307,35386,0,1.49,3.55,444,Armored Door
2,0,0,0,2,265,2,22,11784,1112,41606,0,1.49,5.6,1110,Armored Door
6,0,0,1,4,1,48,14,4897,53,19290,0,5.75,4.64,1258,Acoustic Guitar
0,0,0,1,9,856,1,26,6003,1178,47141,0,1.72,4.51,1201,Boots
0,0,0,1,4,4,4,18,8182,52,39537,0,1.92,2.43,1152,Metal Facemask
0,0,0,0,5,173,325,31,17477,1366,32341,0,7.99,5.9,1200,Leather Gloves
0,0,0,0,5,73,2,29,10215,400,30475,0,1.38,4.37,1131,Coffee Can Helmet
0,0,0,0,3,0,0,29,1460,14,22608,0,0.99,4.54,1145,Hoodie
0,0,0,0,9,2,1,23,291,14,19151,0,0.99,5.3,1145,Pants
0,0,0,0,9,61,4,26,4883,131,38268,0,2.69,7.98,1110,Boots
0,0,0,0,5,76,0,20,3413,643,7986,0,17.25,11.65,1270,Bolt Action Rifle
0,11,0,0,9,172,2291,27,10869,590,45088,0,2.49,0.82,1711,Boots
0,0,0,0,4,0,4,16,1547,7,28309,0,10.0,7.12,1257,Metal Facemask
0,0,0,0,5,0,0,11,164,0,11408,0,1.49,7.93,1191,Locker
6,1,0,2,6,350,3,13,3976,1574,41410,0,1.49,6.71,1215,Sheet Metal Door
1,0,0,0,3,615,7,16,7720,1210,26372,0,3.85,19.28,1165,Miners Hat
0,0,0,0,8,0,0,27,483,0,9041,0,5.82,5.18,1259,Semi-Automatic Rifle
1,0,0,0,4,14,2401,35,2913,96,38730,0,15.06,5.02,1208,Road Sign Kilt
0,0,0,0,11,16,1935,19,6579,95,33887,0,9.3,2.07,1207,Road Sign Jacket
1,421,0,0,12,65,620,17,6717,601,17936,0,8.74,7.34,1281,Rocket Launcher
2,0,0,0,4,4030,44,15,7556,539,47433,0,4.7,9.18,1207,Vending Machine
4,1,0,0,3,0,47,17,6377,198,33335,0,1.49,3.01,731,Wooden Door
0,0,0,0,6,116,177,14,6136,729,12170,0,2.2,1.78,872,Stone Hatchet
0,0,0,0,7,24,445,15,7646,996,7893,0,2.53,2.17,872,Stone Pickaxe
6,46,0,2,4,42,5021,15,6084,168,44148,0,1.49,5.23,809,Sheet Metal Door
0,979,0,0,3,9,2576,20,8490,286,30935,0,1.49,2.8,724,Furnace
1,274,0,0,4,2396,38262,16,12729,4115,8096,0,4.99,2.57,1641,Sleeping Bag
0,0,0,0,6,36,2,21,22574,910,30331,0,1.5,2.0,1166,Shirt
1,556,63,0,7,337,3338,25,9085,1511,19586,0,1.99,1.14,290,Python Revolver
6,1,0,2,4,159,6626,15,16867,475,31775,0,1.49,2.23,935,Sheet Metal Door
0,719,960,0,2,75,2951,21,7603,810,30515,0,2.68,2.38,893,Furnace
1,0,0,0,4,196,1671,30,9961,1486,36262,0,1.49,3.17,850,Large Wood Box
7,0,0,2,5,101,870,14,4615,312,48999,0,2.99,2.92,830,Sheet Metal Door
0,0,0,0,5,13,84,14,4384,64,15535,0,1.99,6.03,1012,Stone Hatchet
0,0,0,1,7,3,334,15,6868,89,10184,0,1.99,3.75,1005,Stone Pickaxe
