red,orange,yellow,green,blue,white,brown,cyan,gray,pink,darkslategray,no match,initial_price,curr_price,days_since_release,skin_type
4,341,2,35,8,835,1605,62,3542,3720,3387,0,3.99,5.95,465,Semi-Automatic Rifle
1,94,7,0,9,296,1262,22,8185,3167,6404,0,1.99,1.82,52,Double Barrel Shotgun
0,1124,703,0,2,18,679,21,7942,518,30831,0,1.49,2.25,907,Furnace
0,0,0,0,4,464,38,15,13970,2092,44672,0,1.49,4.81,963,Sleeping Bag
0,0,0,0,8,152,4,15,6010,1278,19910,0,3.14,2.47,864,Waterpipe Shotgun
1,12,1,0,4,2,2141,16,12276,1978,29394,0,1.49,5.13,605,Sleeping Bag
0,0,0,0,1,2672,1,14,12019,2890,31797,0,4.99,3.2,1304,Riot Helmet
1,0,0,0,6,965,146,29,20044,3167,27301,0,1.71,2.06,879,Large Wood Box
1,0,0,0,4,813,2,13,17223,4626,23836,0,4.99,4.43,1304,Burlap Shirt
1,0,0,0,4,29,2,15,7660,231,52691,0,1.57,2.65,1138,Sleeping Bag
0,0,0,1,10,498,1,25,8208,628,55339,0,1.45,3.6,1152,Boots
0,0,0,0,5,623,324,31,16241,1551,35042,0,1.49,4.55,1145,Leather Gloves
1,0,0,0,9,49,0,24,987,299,24205,0,1.45,1.8,1138,Pants
0,0,0,0,4,60,1,13,3883,174,39066,0,0.99,4.39,1069,Burlap Shirt
0,5,0,0,223,91,2155,27,2396,223,11841,0,3.99,1.73,424,Combat Knife
2,0,0,1,7,0,1,32,648,11,20596,0,29.34,5.91,1221,Metal Facemask
1,0,0,0,3,0,650,13,6467,535,5470,0,2.99,1.5,13,Assault Rifle
0,13,0,0,6,1700,6948,28,18920,3122,16578,0,2.99,3.76,11,Large Wood Box
0,0,0,0,3,0,2949,11,492,0,12543,0,2.99,3.21,53,Locker
0,2201,1,0,6,665,7521,14,13772,4021,20773,0,2.99,7.85,102,Wood Storage Box
4,0,0,0,3,5,20912,22,2812,2417,28835,0,1.49,2.87,576,Armored Door
3,370,34,0,1,820,26876,10,12738,3261,27918,0,1.49,16.76,809,Garage Door
1,42,0,0,5,415,4821,29,18534,9906,16868,0,1.49,4.98,823,Large Wood Box
0,0,0,0,5,0,5644,11,586,0,29745,0,1.59,9.12,780,Locker
0,4023,0,0,7,0,9702,15,10878,1586,25159,0,1.49,3.83,822,Wood Storage Box
2,0,0,57,2,4089,1282,16,6173,260,53300,0,1.08,6.91,809,Vending Machine
1,462,7,0,5,1191,3107,59,26813,9333,13356,0,0.99,1.07,415,Metal Chest Plate
50,153,12,0,4,4280,3759,114,23723,8785,12191,0,0.99,1.3,415,Metal Facemask
1,189,21,0,5,698,272,23,9084,2749,6479,0,1.99,1.49,1110,Assault Rifle
0,0,0,0,4,28,7171,9,7951,1606,4681,0,1.38,2.61,878,Bone Club
2,0,0,0,3,0,7171,13,4225,51,66689,0,1.99,4.02,221,Sheet Metal Double Door
1,0,0,0,1,535,13,10,3178,519,64909,0,1.49,1.69,346,Garage Door
1,220,0,0,5,335,379,24,8246,3589,6605,0,1.99,2.91,1161,Assault Rifle
0,396,397,0,5,727,189,16,5998,1915,3636,0,1.99,1.88,297,Bolt Action Rifle
0,292,104,0,5,747,1753,29,18300,12550,16450,0,1.49,3.0,753,Large Wood Box
2,75,0,0,14,53,1011,46,1852,174,13197,0,1.99,1.82,564,Crossbow
1,185,69,0,7,299,1607,14,2412,1337,8614,0,1.99,3.21,984,Double Barrel Shotgun
6,0,0,2,3,171,1235,17,16914,804,37531,0,1.49,2.5,753,Sheet Metal Door
2,23473,0,0,206,1316,3996,10,13934,1273,26306,0,1.49,3.75,515,Garage Door
0,568,0,0,6,1362,2158,28,11090,4465,24240,0,1.16,0.97,802,Coffee Can Helmet
0,208,0,0,2,41,9525,25,10148,746,14708,0,0.99,0.64,108,Hoodie
1,16,0,0,5,82,1865,37,20301,1055,24128,0,1.15,2.08,802,Road Sign Kilt
1,1503,50,0,6,1050,206,26,11264,4185,15946,0,1.99,1.91,620,Python Revolver
0,1348,22,0,11,290,2643,33,8435,1040,19709,0,1.99,2.51,221,Revolver
0,315,24,0,9,2,253,26,4606,276,7492,0,1.99,4.11,746,Semi-Automatic Rifle
1,5816,6823,0,2,115,451,35,11091,3083,6016,0,5.38,11.08,1289,Hide Halterneck
1,689,0,0,13,74,1236,21,16671,2500,21018,0,1.19,0.88,802,Road Sign Jacket
0,379,6,0,11,47,7244,22,4667,444,13515,0,0.99,0.76,108,Pants
0,0,0,0,5,53,2,8,4022,451,28217,0,1.56,3.62,1180,Hide Vest
1,0,0,0,7,43,28,25,10633,143,25976,0,1.99,1.18,501,Python Revolver
1,0,0,0,5,13,1,23,13705,495,22731,0,16.88,6.49,1255,Metal Chest Plate
0,0,0,0,6,40,67,30,3700,186,36443,0,0.99,2.93,676,Road Sign Kilt
0,0,0,0,9,186,96,18,4776,765,32369,0,0.99,2.37,676,Road Sign Jacket
0,0,0,0,4,628,1,47,4861,1189,22089,0,0.99,7.14,676,Coffee Can Helmet
0,0,0,0,1,0,0,18,4471,9,29244,0,2.49,0.52,1754,Bandana Mask
2,1,0,0,6,95,5,22,7794,574,9987,0,1.99,1.86,1075,Assault Rifle
2,0,0,0,1,1175,1,10,9198,859,59418,0,2.41,11.3,921,Garage Door
0,0,0,0,3,67,988,29,4803,255,39276,0,0.99,0.9,739,Hoodie
0,1,0,0,7,37,3832,23,6564,778,27132,0,0.99,0.89,740,Pants
2,1,0,0,3,518,7506,15,13711,1021,28250,0,2.15,4.64,1096,Riot Helmet
5,0,0,0,7,946,52,24,6540,1074,33390,0,14.0,5.15,1074,Semi-Automatic Pistol
0,0,0,0,2,4,0,30,1931,170,33393,0,1.12,1.06,829,Hoodie
1,0,0,0,10,0,1,23,1024,28,32704,0,1.17,0.9,829,Pants
1,0,0,0,3,56,1,28,2515,203,32374,0,1.49,5.66,1243,Metal Chest Plate
0,517,5,0,4,231,1900,16,6482,768,11490,0,2.49,0.74,1712,Pump Shotgun
0,0,0,0,4,0,0,15,4205,117,10163,0,3.18,3.39,1165,Stone Hatchet
1,1830,527,800,8,113,10186,229,14570,1123,22866,0,2.18,2.36,865,Large Wood Box
5,0,0,2,5,106,194,14,11869,269,43192,0,6.2,4.98,774,Sheet Metal Door
2,0,0,0,5,925,5,49,7811,2261,7687,0,1.99,4.07,928,Assault Rifle
1,164,0,0,8,2480,1374,38,15244,4117,14502,0,1.99,2.05,60,Revolver
6,2233,1689,16,2,528,3672,22,2694,5238,15235,0,1.49,2.4,415,Furnace
2,87,3,0,10,341,324,56,1250,648,2644,0,1.99,1.83,59,Hunting Bow
8,1078,1073,0,7,2579,2470,108,33751,2101,25923,0,1.49,21.56,956,Garage Door
0,0,0,0,13,451,2159,17,9475,1352,32474,0,6.25,1.16,1268,Road Sign Jacket
1,0,0,0,8,450,835,34,6635,765,41479,0,3.0,2.91,1268,Road Sign Kilt
1,0,0,0,3,5369,9512,16,25885,12828,10649,0,4.99,3.5,1634,Sleeping Bag
2,26,0,1530,7,1,16606,28,1744,72,13004,0,4.99,2.1,907,None
4,104,43,2517,6,0,3846,23,61,0,638,0,6.63,7.33,1280,Longsleeve T-Shirt
106,525,19,0,2,925,5439,21,10477,2130,14015,0,1.49,1.65,900,Furnace
0,22,0,0,1,505,16284,34,8664,1238,11278,0,0.99,1.32,529,Hoodie
2,0,0,0,9,301,22550,23,7168,933,5068,0,0.99,1.19,529,Pants
0,1,0,0,3,24,1178,14,14160,745,46489,0,3.01,2.66,1280,Sleeping Bag
21,772,47,0,5,767,4471,30,25008,10542,11303,0,10.32,2.38,1282,Large Wood Box
0,0,0,0,5,1751,10590,23,8604,5254,4454,0,2.49,1.78,1711,Longsleeve T-Shirt
0,0,0,32,0,534,30,0,749,301,8116,0,4.99,43.8,907,None
34,893,370,39,3,10,5081,11,4690,258,40299,0,1.49,2.24,170,Locker
1,9,0,0,5,1504,9908,29,21137,8128,14705,0,4.99,2.79,1641,Large Wood Box
29,304,259,149,115,198,1142,14,40161,1174,13295,0,5.1,13.92,1283,Wooden Door
75,1053,0,3,2,1943,2314,68,30786,8249,29053,0,1.49,5.29,170,Garage Door
1,2,0,0,14,61,1,45,3952,225,6415,0,1.99,8.9,1195,Crossbow
5,0,0,0,8,1393,2,23,16660,1314,8328,0,1.99,3.22,1165,Semi-Automatic Pistol
3,4123,0,0,5,274,12267,16,6206,1362,23336,0,0.99,1.18,1054,Metal Facemask
1,0,0,0,7,207,5,25,6499,818,10259,0,1.49,1.56,1190,Assault Rifle
4,0,0,0,3,8,0,20,17944,333,38606,0,5.7,3.0,1199,Armored Door
0,0,1,0,5,2306,1,19,22957,2145,37252,0,1.66,3.56,1208,Satchel Charge
0,1,0,0,0,0,74,0,18865,7444,29736,0,10.33,0.09,1315,None
0,0,0,0,10,468,3,165,2569,847,1690,0,1.99,4.07,108,Hunting Bow
4,9,0,0,15,1954,1,661,9340,2202,5015,0,1.99,2.4,149,Crossbow
1,0,0,0,7,3359,276,28,21821,5757,13738,0,0.99,2.88,1012,Coffee Can Helmet
1,1,0,0,6,368,1121,36,26540,2076,21638,0,1.47,5.86,1012,Road Sign Kilt
1,0,0,0,8,490,2308,17,26350,2904,15157,0,2.2,2.87,1012,Road Sign Jacket
3,0,0,0,1,2389,4228,11,19256,6665,41470,0,1.49,1.9,613,Garage Door
347,1640,505,0,3,634,5346,18,13281,2903,31312,0,1.99,2.55,87,Vending Machine
9,20,44,0,2,608,5834,15,14919,1293,27190,0,1.49,2.04,367,Fridge
4,3510,0,0,1,1335,4559,75,14800,6727,23039,0,1.49,5.6,949,Armored Door
3,168,0,0,5,2801,151,38,28300,6012,28749,0,2.49,1.85,346,Vending Machine
0,0,0,39,3,14,26,79,6777,15,41874,0,2.99,3.18,221,Locker
7,0,0,519,1,394,29,22,2532,474,53145,0,1.49,1.7,319,Garage Door
0,0,0,0,10,407,28,24,5204,1423,6896,0,1.99,1.98,304,Semi-Automatic Rifle
2,0,0,0,4,968,1,13,5003,1247,5993,0,2.99,2.01,200,Assault Rifle
0,0,0,0,5,0,296,11,1781,353,28395,0,2.22,8.12,984,Locker
3,2,0,0,1,518,851,13,28342,4825,38114,0,2.69,3.86,942,Garage Door
0,0,0,0,3,4104,139,27,34890,5907,21044,0,1.49,4.44,977,Sleeping Bag
2,0,0,0,2,0,6674,19,3738,226,31560,0,1.49,1.87,522,Wooden Door
1,3,0,0,6,181,320,22,8329,1621,7981,0,1.99,1.56,942,Assault Rifle
1,0,0,0,5,3665,2,189,8215,3332,4836,0,3.99,9.9,550,Assault Rifle
3,0,2,0,15,2180,2,54,6696,4362,6168,0,2.99,4.09,353,Crossbow
0,0,0,0,10,1667,0,28,9610,2793,8528,0,3.99,12.02,576,LR-300
0,0,0,0,9,3616,0,62,10891,3515,8292,0,2.99,10.28,437,MP5A4
1,0,0,0,5,10113,0,98,16164,5191,6803,0,3.99,6.28,830,Python Revolver
0,0,0,0,6,1630,1,29,6151,1827,4984,0,3.99,5.49,515,Semi-Automatic Rifle
4,33,0,0,7,460,68,25,12223,492,27191,0,1.99,3.44,625,Semi-Automatic Pistol
0,0,0,1,9,16,0,26,1394,67,38562,0,5.82,4.72,1248,Boots
0,34,0,0,5,246,3292,27,570,218,10021,0,4.99,7.22,410,Combat Knife
1,189,0,0,5,180,293,16,48770,2198,14452,0,1.49,1.72,290,Sleeping Bag
1,0,1,0,4,381,1460,17,9786,3741,43424,0,1.99,3.56,228,Sleeping Bag
0,0,0,0,4,2,0,30,3914,19,35997,0,2.49,5.99,1229,Large Wood Box
80,492,0,0,1,481,56536,10,3688,655,3900,0,1.49,2.23,185,Garage Door
2,0,0,0,4,141,0,15,1351,173,37883,0,1.49,3.24,185,Fridge
2,0,0,0,5,937,1,123,9982,2098,6592,0,1.99,2.25,1026,Assault Rifle
0,68,0,0,4,55,569,16,9490,983,10258,0,1.99,1.48,1018,Pump Shotgun
2,0,0,0,3,47,272,28,8987,712,38692,0,0.99,1.39,830,Metal Chest Plate
0,0,0,0,5,567,224,29,5102,1028,40773,0,0.99,0.98,830,Metal Facemask
0,0,0,0,3,14,0,29,4376,129,35919,0,0.99,1.77,977,Hoodie
1,0,0,1,9,12,0,23,2868,132,33052,0,0.99,1.54,977,Pants
0,0,14,24,2,81,162,52,9215,1046,25952,0,0.99,0.62,13,Hoodie
1,19,2,0,8,36,19,26,3627,170,30255,0,0.99,0.62,13,Pants
4,461,0,0,7,379,7686,24,14521,1805,20431,0,2.49,0.98,1712,Semi-Automatic Pistol
0,364,32,11,2,750,4743,32,11324,1548,19084,0,1.49,1.84,163,Furnace
7,0,0,2,5,102,126,13,2114,189,38440,0,1.49,5.67,710,Sheet Metal Door
4,0,0,0,4,1,106,19,4014,202,45074,0,14.99,9.07,1299,Armored Door
3,0,0,0,2,13552,532,25,12400,17195,25652,0,0.99,1.0,38,Boots
0,0,0,0,2,2723,830,18,10627,17961,16300,0,0.99,0.78,25,Metal Chest Plate
2,2,0,0,4,8670,548,18,11073,14650,12526,0,0.99,0.7,25,Metal Facemask
3,0,0,0,3,14744,336,33,14450,13392,13141,0,1.49,1.62,38,Leather Gloves
0,0,0,0,2,1484,0,25,20101,4921,14329,0,1.99,5.24,45,Hoodie
1,0,0,1,6,1000,4,22,11254,12074,14826,0,1.99,5.17,45,Pants
0,0,0,1,10,5401,1550,19,24899,10562,7860,0,0.99,1.51,367,Boonie Hat
0,0,0,0,5,0,8,15,3884,27,26240,0,0.99,0.84,367,Burlap Trousers
0,0,0,1,8,40,8,14,16771,162,28362,0,0.99,3.74,360,Boonie Hat
2,2,1,0,4,633,1436,24,11223,1174,13199,0,2.49,1.47,360,Hoodie
0,0,0,0,10,37,416,23,1900,115,18001,0,2.49,1.56,360,Pants
0,0,0,0,4,981,602,13,23423,7952,15234,0,0.99,0.95,367,Burlap Shirt
3,0,0,0,4,11430,4,15,34826,15724,4417,0,1.49,3.45,415,Sleeping Bag
0,0,0,0,4,1,0,17,3292,56,32176,0,2.49,1.49,25,Bandana Mask
48,1565,78,0,5,891,1851,29,8177,2292,21216,0,1.49,1.9,598,Large Wood Box
0,0,0,0,3,29,3210,17,5781,463,15176,0,5.45,117.16,1691,Bandana Mask
1,293,0,0,5,0,20304,23,1135,3,9707,0,4.98,33.57,1691,Longsleeve T-Shirt
1,1460,328,0,4,403,451,15,11330,3061,33130,0,2.99,18.43,739,Sleeping Bag
2,0,0,0,6,398,4342,22,6244,835,6239,0,2.49,1.61,1249,Assault Rifle
5,0,0,0,7,555,2,24,8338,2329,25596,0,1.99,1.54,948,Semi-Automatic Pistol
1,42,0,0,9,24,681,25,9133,713,31504,0,2.91,1.38,1227,T-Shirt
2,48,0,0,5,125,481,25,6347,1375,8959,0,4.99,5.74,823,Assault Rifle
0,0,0,0,3,84,1,29,6889,576,35285,0,5.99,0.95,1585,Hoodie
0,15,0,0,10,869,445,159,6222,2777,3796,0,1.99,2.15,479,Semi-Automatic Rifle
0,0,0,1016,5,171,0,22,6701,429,36682,0,3.99,18.78,598,None
3,299,0,0,1,27,5902,10,2164,174,43049,0,1.49,8.09,698,Garage Door
1,67,0,0,4,446,3203,30,15034,3091,19826,0,1.49,3.23,732,Large Wood Box
0,0,0,0,6,1953,67,28,17654,2821,13327,0,1.49,1.75,388,Large Wood Box
0,1150,772,0,3,132,773,21,4675,871,31150,0,1.49,2.75,621,Furnace
0,0,0,0,3,297,0,18,3433,548,18781,0,1.99,1.33,458,Hatchet
0,0,0,0,5,44,0,22,1871,80,8585,0,1.99,1.26,297,Pickaxe
4,0,0,0,3,97,4059,17,1667,135,35627,0,1.49,5.8,717,Wooden Door
0,113,70,136,193,168,2804,148,11330,1586,6236,0,1.99,2.41,304,LR-300
0,0,0,0,1,13,75,13,10375,81,33363,0,2.49,5.02,1301,Shorts
1,359,0,0,6,191,2244,28,19910,2739,24082,0,7.49,4.54,1283,Large Wood Box
0,218,5,0,10,59,1123,28,4158,688,13782,0,2.56,6.35,956,LR-300
0,0,0,0,3,68,210,17,2826,394,13659,0,4.48,8.04,983,Hatchet
0,0,0,0,5,72,443,21,1181,172,7579,0,1.99,6.98,977,Pickaxe
1,34,41,0,5,5553,316,30,16947,4558,22392,0,1.49,4.8,935,Large Wood Box
0,237,41,0,2,513,375,27,3174,819,15136,0,18.25,7.0,1199,Chair
1,0,0,0,3,48,606,22,667,53,4744,0,11.5,4.71,1262,Longsword
3,772,0,0,1,24,10450,14,9301,670,46528,0,1.49,10.29,620,Garage Door
0,0,0,0,6,139,0,21,1907,240,13820,0,2.27,6.45,1138,Salvaged Icepick
13,951,1419,0,5,433,1072,21,5940,2668,6940,0,1.93,1.49,1166,Assault Rifle
6,1281,56,0,11,160,3595,38,5483,1217,10059,0,1.99,7.74,935,Custom SMG
0,7,0,0,7,0,392,13,4642,241,13375,0,2.85,1.93,788,Stone Hatchet
1,0,0,0,3,1963,0,27,11378,3157,16560,0,1.99,1.3,907,Python Revolver
0,151,0,0,9,103,1398,29,3221,466,17239,0,1.99,6.3,1145,MP5A4
1,0,0,0,7,408,1997,30,11007,1056,16227,0,3.1,5.75,998,Hammer
1,39,0,0,14,37,2560,45,1780,130,12398,0,2.48,1.59,886,Crossbow
0,23,0,0,5,8772,381,28,11592,8626,24523,0,1.49,1.7,458,Large Wood Box
1,0,0,0,6,100,23,22,3914,709,10724,0,1.99,3.19,984,Assault Rifle
0,0,0,0,5,2235,2409,30,8987,2414,28666,0,1.49,2.18,1019,Large Wood Box
0,0,0,0,10,688,1,29,12354,2734,7729,0,1.99,2.7,522,LR-300
0,0,0,0,4,214,1789,16,9805,1288,9062,0,1.99,2.22,577,Pump Shotgun
7,111,0,2,3,51,72,16,6698,833,47654,0,1.49,3.19,998,Sheet Metal Door
0,0,0,0,2,40,589,19,5299,543,37394,0,0.99,1.54,375,Metal Chest Plate
0,52,0,0,5,82,2763,23,6096,761,35070,0,0.99,0.94,375,Metal Facemask
4,1,2,2,4,432,2409,14,7573,572,32535,0,1.49,1.78,479,Sheet Metal Door
0,1,0,0,5,470,243,20,7993,966,4116,0,2.04,3.31,1152,Bolt Action Rifle
4,2,1,2,4,113,2,15,11459,520,35936,0,1.49,3.3,956,Sheet Metal Door
0,0,1,0,4,0,653,16,408,4,19220,0,9.99,13.28,1303,Metal Facemask
0,46,0,0,7,1083,829,34,10171,2788,27809,0,1.99,2.17,942,Revolver
2,1,0,0,6,259,1,22,9037,1065,8467,0,2.49,1.7,886,Assault Rifle
0,56,0,0,9,27,32,30,6724,435,15892,0,1.99,4.03,626,LR-300
0,0,0,0,2,264,9,22,8171,1018,27823,0,0.99,6.66,1033,Metal Facemask
1,0,0,0,5,49,3,36,2629,257,27367,0,0.99,6.12,1033,Road Sign Kilt
1,0,0,0,13,291,20,18,6345,960,28289,0,0.99,1.78,1033,Road Sign Jacket
0,0,0,0,7,145,1052,14,22165,4137,26016,0,1.49,4.92,914,Wood Storage Box
6,130,0,2,4,109,881,15,7484,532,46370,0,1.49,1.77,437,Sheet Metal Door
0,995,0,0,2,114,3513,22,7683,824,30112,0,1.49,1.55,325,Furnace
2,76,1,0,1,16,5331,10,33972,1059,33488,0,1.49,2.12,339,Garage Door
1,0,0,0,5,2476,123,27,16796,7308,26905,0,1.49,1.58,361,Large Wood Box
2,2,0,0,14,56,50,45,2185,249,11676,0,1.99,2.83,746,Crossbow
1,0,0,0,7,525,2,34,3267,764,30004,0,10.0,3.05,1214,Revolver
1,385,139,0,5,1001,1043,44,11676,2755,26361,0,1.49,3.46,690,Large Wood Box
5,615,32,2,4,85,2955,15,2412,316,29678,0,1.49,3.58,690,Sheet Metal Door
2,0,0,0,6,2178,414,30,6885,2107,29367,0,1.32,0.85,886,Coffee Can Helmet
1,0,0,0,7,358,265,42,9975,1005,36398,0,1.65,1.69,886,Road Sign Kilt
2,5,0,0,13,652,872,18,12436,2459,26793,0,1.27,0.94,886,Road Sign Jacket
2,0,0,0,1,456,1,10,6549,1383,53658,0,4.75,16.43,956,Garage Door
8993,1583,24543,729,11828,688,2894,1484,5240,12973,3656,0,7.99,9.76,173,None
1387,3833,720,0,3,624,5294,21,7013,2034,13871,0,1.49,2.42,346,Furnace
7,18,2,0,6,47,139,23,7216,837,9514,0,3.99,3.19,788,Assault Rifle
1,0,0,0,5,54,3547,27,2880,707,9362,0,4.99,7.38,1317,Bone Helmet
0,2952,2068,0,3,133,2680,21,2929,898,23812,0,1.99,6.97,228,Furnace
0,9,0,0,3,102,23,29,13217,843,30865,0,0.99,1.15,1096,Hoodie
1,0,0,0,4,0,4,5,9596,319,30576,0,3.38,0.07,1754,Improvised Balaclava
0,0,0,0,1,0,80,18,14553,760,25898,0,10.42,0.08,1754,Bandana Mask
0,0,0,0,3,1,628,29,7959,650,34774,0,2.33,1.06,1166,Hoodie
0,0,1,0,9,0,1357,24,3432,35,28380,0,2.77,1.67,1166,Pants
2,1,0,0,5,1066,43,23,7776,4755,5590,0,1.99,1.65,179,Assault Rifle
6,21,0,0,8,324,4730,23,16647,3149,17722,0,1.49,0.94,1214,Semi-Automatic Pistol
6,0,0,0,11,0,632,16,4810,53,41181,0,0.96,0.07,1796,Jacket
0,0,0,0,5,0,2,16,1363,10,34220,0,2.39,5.12,1124,Burlap Trousers
0,0,0,0,4,38,10,13,5266,136,41908,0,0.99,3.7,1117,Burlap Shirt
0,0,0,0,6,796,433,31,8365,2914,26126,0,0.99,1.31,1075,Coffee Can Helmet
1,157,2,0,6,1,2395,37,8757,2497,31818,0,0.99,4.53,1075,Road Sign Kilt
0,15,0,0,13,6,3392,16,10272,1155,31377,0,0.99,1.39,1075,Road Sign Jacket
0,0,0,0,11,375,0,28,5184,3971,7277,0,1.99,2.62,422,M39 Rifle
3,2797,68,0,4,1903,1845,27,9039,3426,17485,0,1.99,1.19,921,Python Revolver
2,1280,68,0,3,4,2631,26,3295,227,9290,0,1.99,7.61,402,M39 Rifle
1,5481,134,0,8,692,6882,33,7274,955,19648,0,2.59,2.48,893,Revolver
0,1280,47,0,6,7,3978,27,4141,467,7973,0,1.99,9.67,410,Thompson
462,495,518,9,1,1085,9597,14,11323,2194,41744,0,1.49,4.08,221,Garage Door
1,90,1,0,6,462,1269,22,6710,1787,8332,0,1.99,1.71,1040,Assault Rifle
1,0,0,0,4,241,166,16,4763,523,41242,0,1.16,1.08,1040,Metal Facemask
1,0,0,0,5,1,128,37,2634,91,42296,0,0.99,7.67,1047,Road Sign Kilt
0,2,0,0,13,9,161,17,3293,144,36179,0,0.99,2.7,1047,Road Sign Jacket
0,490,0,0,6,38,1279,20,2386,123,6231,0,1.99,2.04,311,Semi-Automatic Rifle
1,333,0,0,5,34,3170,12,3358,139,32243,0,1.82,3.22,1138,Riot Helmet
2,0,0,0,6,1857,2,22,7146,1824,7332,0,2.49,1.47,1579,Assault Rifle
0,0,0,0,9,972,0,31,9048,3593,8839,0,4.99,19.51,1306,MP5A4
0,2393,0,0,4,1,2235,29,18077,2245,24913,0,1.49,2.1,494,Large Wood Box
2,3,0,0,7,1142,5315,24,5658,1727,30486,0,2.71,1.63,1054,Semi-Automatic Pistol
3,0,0,0,7,859,836,23,10462,1422,30685,0,2.04,2.89,1117,Semi-Automatic Pistol
3,2,0,0,8,430,863,47,4894,1047,16688,0,2.65,36.07,1165,Water Purifier
0,5369,0,0,5,984,3975,124,14322,3833,24549,0,1.49,4.12,669,Large Wood Box
7,4,0,2,4,53,8622,15,7816,1096,37273,0,1.49,3.58,669,Sheet Metal Door
1,0,0,0,6,12770,79,2478,26761,13171,10816,0,1.49,1.78,325,Sleeping Bag
0,0,0,0,5,475,519,32,7600,3055,31671,0,1.22,1.0,795,Coffee Can Helmet
1,0,0,0,6,18,115,36,3032,201,34651,0,1.31,2.12,795,Road Sign Kilt
0,0,0,0,13,75,611,17,6274,446,34277,0,1.27,1.07,795,Road Sign Jacket
1,0,0,0,7,2243,2,26,5498,2463,8908,0,1.99,4.34,87,Assault Rifle
3,0,0,0,2,841,0,25,16198,10218,41937,0,0.99,1.8,149,Boots
2,0,1,0,3,5407,11,33,17657,7394,25089,0,1.49,2.53,149,Leather Gloves
1,0,0,0,4,3470,0,25,10202,6183,13617,0,0.99,1.97,123,Coffee Can Helmet
1,0,1,0,2,141,0,26,15745,837,16776,0,0.99,3.02,157,Hoodie
1,0,0,0,5,58,1,36,4600,2211,36300,0,0.99,4.96,123,Road Sign Kilt
0,0,0,0,2,8219,0,18,7004,5387,23364,0,0.99,1.71,102,Metal Chest Plate
1,0,0,0,4,7239,1,16,5334,4821,26699,0,0.99,1.62,102,Metal Facemask
1,0,1,0,6,211,1,23,18741,2751,13822,0,0.99,2.66,157,Pants
1,0,0,0,13,3346,0,17,7933,6932,23153,0,0.99,2.33,123,Road Sign Jacket
1,0,0,0,5,206,3,23,9966,916,7935,0,1.15,1.62,1124,Assault Rifle
6,0,0,2,3,1,5058,16,4786,26,32534,0,35.22,1.66,1262,Sheet Metal Door
1,2,0,0,15,26,121,45,2208,159,14953,0,3.67,2.12,1186,Crossbow
7,0,0,2,5,1,878,14,2720,209,35416,0,1.49,3.14,598,Sheet Metal Door
7,1176,0,2,4,221,7697,15,14980,664,31447,0,1.49,2.41,1075,Sheet Metal Door
4,5958,0,0,3,71,16500,18,3603,314,23580,0,10.36,19.38,1289,Wooden Door
2,424,0,0,3,33,14781,13,9405,857,50829,0,4.99,13.75,228,Sheet Metal Double Door
0,1104,165,0,7,745,1290,15,4128,1566,5889,0,1.99,3.63,451,Double Barrel Shotgun
0,0,0,0,0,27,5,0,12037,5537,1081,0,7.83,0.09,1688,None
1,0,0,0,9,711,135,24,6038,1417,15081,0,1.99,3.71,917,Double Barrel Shotgun
0,0,0,0,4,0,789,5,3206,70,11227,0,4.99,1.01,1754,Improvised Balaclava
0,3,0,0,3,658,210,15,7814,3834,10946,0,1.99,1.95,206,Hatchet
0,0,0,0,5,106,131,22,2266,279,4496,0,1.99,1.75,207,Pickaxe
2,0,0,0,3,0,8344,13,3356,28,33411,0,1.49,4.51,192,Sheet Metal Double Door
3,0,0,0,9,157,2554,25,27835,1409,33841,0,5.49,1.81,487,None
0,0,0,0,7,101,0,14,4288,494,32748,0,1.99,1.61,521,Rock
375,711,1445,0,2,43,1039,21,4009,450,29064,0,2.99,17.15,739,Furnace
0,77,0,0,5,63,1920,18,1469,322,14139,0,2.99,10.14,642,Stone Hatchet
0,75,1,0,7,4,749,15,4609,40,11165,0,2.99,15.77,642,Stone Pickaxe
1,7,0,0,12,132,9387,16,3901,1063,7950,0,2.99,3.38,179,Rocket Launcher
0,228,4,0,5,26,6288,12,4884,269,22636,0,9.49,3.75,487,None
6,0,0,2,3,16,12210,16,1616,153,41186,0,1.49,2.47,893,Sheet Metal Door
1,3408,743,0,5,755,2279,103,11552,3050,15531,0,1.99,1.18,564,Python Revolver
0,0,0,0,7,33,396,27,3888,272,8804,0,1.99,5.72,626,Semi-Automatic Rifle
0,10,0,0,10,7,158,37,710,59,3299,0,1.99,3.03,179,Hunting Bow
0,75,0,0,6,1117,832,20,4084,707,10115,0,2.49,2.41,207,Combat Knife
0,482,1,0,5,24,4546,20,2661,997,4094,0,2.49,1.05,1677,Bolt Action Rifle
2,2,0,0,5,134,58,15,19460,285,36923,0,1.49,3.11,823,Wooden Door
6,309,0,2,5,68,1434,14,10845,166,44620,0,1.49,1.67,564,Sheet Metal Door
3,266,153,0,5,1265,302,24,7537,1982,6440,0,1.99,1.35,38,Assault Rifle
0,0,0,0,5,320,324,31,24524,5289,18763,0,4.99,2.22,1634,Leather Gloves
1,2,0,0,6,866,177,36,11400,2381,27977,0,1.67,2.46,872,Revolver
1,0,0,0,3,683,866,27,10015,1066,21901,0,1.99,2.52,676,Python Revolver
